title,raitng
Godzilla Minus One,8.248
Oppenheimer,8.135
TAYLOR SWIFT | THE ERAS TOUR,8.033
Five Nights at Freddy's,7.832
The Holdovers,7.7
Killers of the Flower Moon,7.65
Animal,7.6
The Hunger Games: The Ballad of Songbirds & Snakes,7.26
Wonka,7.228
Barbie,7.176
The Creator,7.115
Leave the World Behind,6.703
Merry Little Batman,6.7
Indiana Jones and the Dial of Destiny,6.696
Diary of a Wimpy Kid Christmas: Cabin Fever,6.6
The Marvels,6.541
Fast Charlie,6.3
Silver and the Book of Dreams,6.3
Kung Fu Panda 4,0.0
Aquaman and the Lost Kingdom,0.0
